lname,state,city,pincode,key
Gannavaram_SH298_D (Andhra Pradesh),AP,Gannavaram,521102,gannavaram
Pappadahandi_Jatabal_DPP (Orissa),OR,Pappadahandi,764072,pappadahandi
Benipatti_Sarisab1_DPP (Bihar),BR,Benipatti,847305,benipatti
Agartala_Neramaya_D (Tripura),TR,Agartala,799210,agartala
Visakhapatnam_Duvvada_D (Andhra Pradesh),AP,Visakhapatnam,530053,visakhapatnam
Gondia_Bisen_D (Maharashtra),MH,Gondia,441601,gondia
Patharkandi_CntrlSchl_D (Assam),AS,Patharkandi,788727,patharkandi
Alipurduar_Kalchini_DPP (West Bengal),WB,Alipurduar,735227,alipurduar
Pamarru_Sivalayam_D (Andhra Pradesh),AP,Pamarru,521156,pamarru
Kachhera_Timber_DPP (Himachal Pradesh),HP,Kachhera,176071,kachhera
Bhubaneshwar_SatyaNagar_D (Orissa),OR,Bhubaneshwar,751004,bhubaneshwar
PratapgarhRJ_Badabag_DPP (Rajasthan),RJ,Pratapgarh-RJ,312618,pratapgarh-rj
Kannur_Manal_D (Kerala),KL,Kannur,670014,kannur
Bangalore_PrasantiNagar_C (Karnataka),KA,Bangalore,560061,bangalore
HazratJandaha_HajiprRD_D (Bihar),BR,Hazrat Jandaha,844507,hazrat jandaha
Kannapuram_Bridge_D (Kerala),KL,Kannapuram,670301,kannapuram
Lalganj_AzadNgrRd_D (Uttar Pradesh),UP,Lalganj,229210,lalganj
Thirukatupali_BudalurRd_D (Tamil Nadu),TN,Thirukkattupalli,613202,thirukkattupalli
Basirhat_MaitrDPP_D (West Bengal),WB,Basirhat,743429,basirhat
Faizabad_DarshnNgr_D (Uttar Pradesh),UP,Faizabad,224001,faizabad
Jodhpur_BasniPhase2_P (Rajasthan),RJ,Jodhpur,342009,jodhpur
Ramanapeta_Kurmawada_D (Telangana),TS,Ramannapeta,508113,ramannapeta
RashiwadeBk_Shelewadi_DPP (Maharashtra),MH,Rashiwade Bk,416211,rashiwade bk
Lakheri_KrsrdDPP_D (Rajasthan),RJ,Lakheri,323615,lakheri
ChhotiSadri_NakodaNgr_DPP (Rajasthan),RJ,Chhoti Sadri,312604,chhoti sadri
Mumbai_GavraiPada_C (Maharashtra),MH,Mumbai,401202,mumbai
Thirukoilure_TVN_D (Tamil Nadu),TN,Thirukoilure,605756,thirukoilure
Rupnagar_Towercolony_D (Punjab),PB,Rupnagar,140102,rupnagar
Kanpur_Central_D_8 (Uttar Pradesh),UP,Kanpur,208014,kanpur
Asansol_Kanyapr_D (West Bengal),WB,Asansol,713372,asansol
Newasa_Khurd_D (Maharashtra),MH,Newasa,414606,newasa
Rudraprayag_Dungri_DPP (Uttarakhand),UK,Rudraprayag,246425,rudraprayag
Kallikkad_Mutyvila_D (Kerala),KL,Kallikkad,695510,kallikkad
Bargidih_Bagicha_D (Chhattisgarh),CG,Bagicha,496224,bagicha
BD_Mymensingh_Bolspr_D (Mymensingh),MS,Mymensingh,2252,mymensingh
Rajpura_NavyugColony_D (Punjab),PB,Rajpura,140401,rajpura
Nagercoil_Muhilanvilai_D (Tamil Nadu),TN,Nagercoil,629003,nagercoil
Sillod_ZebaTWR_D (Maharashtra),MH,Sillod,431113,sillod
Khaga_GTRoad_D (Uttar Pradesh),UP,Khaga,212653,khaga
Jalgaon_Midc_D (Maharashtra),MH,Jalgaon,425135,jalgaon
Kundapura_Koteshwara_D (Karnataka),KA,Kundapura,576226,kundapura
Khanna_ModelTown_D (Punjab),PB,Khanna,141418,khanna
Amreli_Bhojalpara_D (Gujarat),GJ,Amreli,364565,amreli
Pileru_Plot14_D (Andhra Pradesh),AP,Pileru,517172,pileru
BD_Dhaka_Banani_P (Dhaka-BD),BA,Patuakhali,8630,patuakhali
Satara_VithaiEnter_D (Maharashtra),MH,Satara,415002,satara
Mudhol_AgriClnc_D (Karnataka),KA,Mudhol,587113,mudhol
Hyderabad_Bownplly_C (Telangana),TS,Hyderabad,500267,hyderabad
Chennai_Guindy_C (Tamil Nadu),TN,Chennai,600048,chennai
Visakhapatnam_Madhavadhara_D (Andhra Pradesh),AP,Visakhapatnam,530007,visakhapatnam
Paramakudi_River_D (Tamil Nadu),TN,Paramakudi,630709,paramakudi
Pandharpur_RajCmplx_D (Maharashtra),MH,Pandharpur,413304,pandharpur
Melmaruvathur_IOBank_D (Tamil Nadu),TN,Melmaruvathur,603301,melmaruvathur
Nuapada_NilshlaNgr_D (Orissa),OR,Nuapada,766105,nuapada
Indi_MahalaxmiNagar_D (Karnataka),KA,Indi,586227,indi
Jind_Narwana_DPP (Haryana),HR,Jind,126152,jind
Jalandhar_QajiMandi_P (Punjab),PB,Jalandhar,144015,jalandhar
Manihari_Mahnbndh_D (Bihar),BR,Manihari,854112,manihari
Anand_Borsad_D (Gujarat),GJ,Anand,388560,anand
Kolhar_ShivajiCircle_D (Karnataka),KA,Kolhar,586216,kolhar
Siliguri_Fulbari_H (West Bengal),WB,Siliguri,734015,siliguri
Jamshedpur_BajrangNgr_D (Jharkhand),JH,Jamshedpur,831004,jamshedpur
Kumbakonam_Perumndi_D (Tamil Nadu),TN,Kumbakonam,612103,kumbakonam
Dapoli_Ghimhavane_D (Maharashtra),MH,Dapoli,415714,dapoli
Phagwara_PurewalNgr_D (Punjab),PB,Phagwara,144031,phagwara
Trichy_LingamNgr_D (Tamil Nadu),TN,Tiruchi,620018,tiruchi
Daudnagar_Tarar_D (Bihar),BR,Daudnagar,821310,daudnagar
Ongole_Pelluru_D (Andhra Pradesh),AP,Ongole,523280,ongole
Khaga_GTRoad_D (Uttar Pradesh),UP,Khaga,212652,khaga
Srinagar_GulabBagh_D (Jammu & Kashmir),JK,Srinagar,191201,srinagar
Kolkata_Gobra_C (West Bengal),WB,Kolkata,700105,kolkata
Jayankondam_Indiranagar_D (Tamil Nadu),TN,Jayankondam,612902,jayankondam
Soraon_Akaripur_D (Uttar Pradesh),UP,Soraon,212502,soraon
Manendragarh_JKDRoad_D (Chhattisgarh),CG,Manendragarh,497448,manendragarh
Miraj_GuruvarPeth_D (Maharashtra),MH,Miraj,416409,miraj
Pathanamthitta_Mangaram_D (Kerala),KL,Pathanamthitta,689517,pathanamthitta
Gadag_TajNagar_D (Karnataka),KA,Gadag,582103,gadag
Belgaum_Khasbag_D (Karnataka),KA,Belgaum,590008,belgaum
Kunigal_KhbColony_DPP (Karnataka),KA,Kunigal,572142,kunigal
PortBlair_Stewartgunj_DPP (Andaman & Nicobar),AN,Port Blair,744107,port blair
Aligarh_Iglas_D (Uttar Pradesh),UP,Aligarh,204106,aligarh
Haldwani_Kamaluaganja_D (Uttarakhand),UK,Haldwani,263126,haldwani
SawaiMadhopur_Kherda_D (Rajasthan),RJ,Sawai Madhopur,322701,sawai madhopur
Kuchinda_Pdrpada_D (Orissa),OR,Kuchinda,768107,kuchinda
Rosera_HanumanTemple_D (Bihar),BR,Rusera,848211,rusera
Golaghat_BaruaRd_D (Assam),AS,Golaghat,785622,golaghat
Sirsi_CPBazar_DPP (Karnataka),KA,Sirsi,581403,sirsi
Vizianagaram_Svnnagar_D (Andhra Pradesh),AP,Vizianagaram,535002,vizianagaram
Rupnarayanpur_Salanpur_D (West Bengal),WB,Rupnarayanpur,713375,rupnarayanpur
Korba_Laluramnagar_D (Chhattisgarh),CG,Korba,495678,korba
Vrindavan_Jait_D (Uttar Pradesh),UP,Vrindavan,281204,vrindavan
Poonchh_AranchRd_D (Uttar Pradesh),UP,Poonchh,284302,poonchh
Gooty_ATPRoad_D (Andhra Pradesh),AP,Gooty,515611,gooty
Jajpur_KniprDPP_D (Orissa),OR,Jajpur,755022,jajpur
Pandariya_HariNala_D (Chhattisgarh),CG,Pandariya,491559,pandariya
ShahpuraMP_Gopalnagar_DPP (Madhya Pradesh),MP,ShahpuraMP,481990,shahpuramp
Nokha_KbEnclave_DPP (Rajasthan),RJ,Nokha,334803,nokha
Saharanpur_Chidbana_P (Uttar Pradesh),UP,Saharanpur,247669,saharanpur
Bandikui_Mukarpura_D (Rajasthan),RJ,Bandikui,303315,bandikui
Cochin_Kdvantra_D (Kerala),KL,Cochin,682036,cochin
Ramanagara_KunigalRd_D (Karnataka),KA,Ramanagara,561201,ramanagara
Baijnath_Paprola_DPP (Himachal Pradesh),HP,Baijnath,176115,baijnath
Ambur_Gandhinagar_D (Tamil Nadu),TN,Ambur,635814,ambur
Kumta_Central_DPP_2 (Karnataka),KA,Kumta,581332,kumta
Karauli_Subhashnagar_D (Rajasthan),RJ,Karauli,322241,karauli
Jangaon_Batkamakunta_D (Telangana),TS,Jangaon,506201,jangaon
Jaipur_Mansrover_R (Rajasthan),RJ,Jaipur,302024,jaipur
Lalitpur_Govindnagar_D (Uttar Pradesh),UP,Lalitpur,284501,lalitpur
Hyderabad_Kothapet_C (Telangana),TS,Hyderabad,500097,hyderabad
BD_Khulna_SIRoad_D (Khulna),KH,Khulna,9206,khulna
Baihata_Sundhia_D (Assam),AS,Baihata,781354,baihata
Anantnag_Qazigund_D (Jammu & Kashmir),JK,Anantnag,192221,anantnag
