state,name,key,stdcode
AN,ANDAMAN ISLANDS,andaman islands,3192
AN,NICOBAR ISLANDS,nicobar islands,3193
AP,ADILABAD,adilabad,8732
AP,ASIFABAD,asifabad,8733
AP,BELLAMPALLI,bellampalli,8735
AP,BHAINSA,bhainsa,8752
AP,BOATH (ECHODA),boath (echoda),8751
AP,CHINNOR,chinnor,8737
AP,JANNARAM (LUXITTIPET),jannaram (luxittipet),8739
AP,KHANAPUR (AP),khanapur (ap),8730
AP,MANCHERIAL,mancherial,8736
AP,NIRMAL,nirmal,8734
AP,OUTSARANGAPALLE,outsarangapalle,8753
AP,SIRPURKAGAZNAGAR,sirpurkagaznagar,8738
AP,UTNOR,utnor,8731
AP,ANANTAPUR,anantapur,8554
AP,DHARMAVARAM,dharmavaram,8559
AP,GARLADINNE,garladinne,8551
AP,GOOTY (GUNTAKAL),gooty (guntakal),8552
AP,HINDUPUR,hindupur,8556
AP,KADIRI,kadiri,8494
AP,KALYANDURG,kalyandurg,8497
AP,KAMBADUR,kambadur,8492
AP,KANAGANAPALLE,kanaganapalle,8491
AP,MADAKASIRA,madakasira,8493
AP,"NALLACHERUVU 
(TANAKALLU)","nallacheruvu 
(tanakallu)",8498
AP,PENUKONDA,penukonda,8557
AP,RAYADURG,rayadurg,8495
AP,TADIPATRI,tadipatri,8558
AP,URAVAKONDA,uravakonda,8496
AP,YELLANURU,yellanuru,8550
AP,B.KOTHAKOTA,b.kothakota,8582
AP,BANGARUPALEM,bangarupalem,8573
AP,CHITTOOR,chittoor,8572
AP,KUPPAM,kuppam,8570
AP,MADANAPALLI,madanapalli,8571
AP,PAKALA,pakala,8585
AP,PALMANERU,palmaneru,8579
AP,PILER,piler,8584
AP,PUNGANUR,punganur,8581
AP,PUTTURU,putturu,8577
AP,SATYAVEDU,satyavedu,8576
AP,SODAM,sodam,8583
AP,SRIKALAHASTHI,srikalahasthi,8578
AP,TIRUPATHI,tirupathi,877
AP,VAYALPAD,vayalpad,8586
AP,VENKATGIRIKOTA,venkatgirikota,8587
AP,BADVEL,badvel,8569
AP,CUDDAPAH,cuddapah,8562
AP,JAMMALAMADUGU,jammalamadugu,8560
AP,"KAMALAPURAM 
(YERRAGUNTALA)","kamalapuram 
(yerraguntala)",8563
AP,KODURU,koduru,8566
AP,LAKKIREDDIPALLI,lakkireddipalli,8567
AP,PRODDATUR,proddatur,8564
AP,PULIVENDLA,pulivendla,8568
AP,RAJAMPETA,rajampeta,8565
AP,RAYACHOTI,rayachoti,8561
AP,SIDDAVATTAM,siddavattam,8589
AP,VAIMPALLI,vaimpalli,8588
AP,BHIMADOLE,bhimadole,8829
AP,BHIMAVARAM,bhimavaram,8816
AP,CHINTALAPUDI,chintalapudi,8823
AP,ELURU,eluru,8812
AP,JANGAREDDYGUDEM,jangareddygudem,8821
AP,KOVVUR (NIDADAVOLU),kovvur (nidadavolu),8813
AP,NARSAPUR (PALAKOLE),narsapur (palakole),8814
AP,POLAVARAM,polavaram,8811
AP,TADEPALLIGUDEM,tadepalligudem,8818
AP,TANUKU,tanuku,8819
AP,BAPATLA,bapatla,8643
AP,GUNTUR,guntur,863
AP,KROSURU,krosuru,8640
AP,MANGALAGIRI,mangalagiri,8645
AP,NARSARAOPET,narsaraopet,8647
AP,PALNAD (MACHERALA),palnad (macherala),8642
AP,PIDUGURALLA,piduguralla,8649
AP,REPALLE,repalle,8648
AP,SATTENAPALLI,sattenapalli,8641
AP,TENALI,tenali,8644
AP,VINUKONDA,vinukonda,8646
AP,CHEVELLA,chevella,8417
AP,HYDERABAD LOC,hyderabad loc,40
AP,HYDERABADEAST (GHATKESWAR),hyderabadeast (ghatkeswar),8415
AP,"HYDERABADWEST 
(SHAMSHABAD)","hyderabadwest 
(shamshabad)",8413
AP,IBRAHIMPATNAM,ibrahimpatnam,8414
AP,MEDCHAL,medchal,8418
AP,PARGI,pargi,8412
AP,TANDURU,tanduru,8411
AP,VIKRABAD,vikrabad,8416
AP,HUSNABAD,husnabad,8721
AP,HUZURABAD,huzurabad,8727
AP,JAGTIAL,jagtial,8724
AP,KARIMNAGAR,karimnagar,878
AP,MAHADEVAPUR,mahadevapur,8720
AP,MANTHANI,manthani,8729
AP,METPALLI,metpalli,8725
AP,PEDDAPALLI,peddapalli,8728
AP,SIRCILLA,sircilla,8723
AP,ASWARAOPET,aswaraopet,8740
AP,BHADRACHALAM,bhadrachalam,8743
AP,BHOORAGAMPHAD (MANUGURU),bhooragamphad (manuguru),8746
AP,KHAMMAM,khammam,8742
AP,KOTHAGUDEM,kothagudem,8744
AP,MADHIRA,madhira,8749
AP,NUGURU (CHERLA),nuguru (cherla),8747
AP,SATHUPALLI,sathupalli,8761
AP,SUDHIMALLA (TEKULAPALLI),sudhimalla (tekulapalli),8741
AP,V.R.PURAM,v.r.puram,8748
AP,YELLANDU,yellandu,8745
AP,ADONI,adoni,8512
AP,ALLAGADDA,allagadda,8519
AP,ALUR,alur,8523
AP,ATMAKUR,atmakur,8517
AP,BANAGANAPALLE,banaganapalle,8515
AP,DRONACHALAM,dronachalam,8516
AP,GUDUR (KODUMUR),gudur (kodumur),8525
AP,KOILKUNTLA,koilkuntla,8510
AP,KURNOOL,kurnool,8518
AP,NANDIKOTKUR,nandikotkur,8513
AP,NANDYAL,nandyal,8514
AP,PATTIKONDA,pattikonda,8520
AP,PEAPALLE,peapalle,8522
AP,SRISAILAM,srisailam,8524
AP,ACHAMPET,achampet,8541
AP,ALAMPUR,alampur,8502
AP,AMANGALLU,amangallu,8545
AP,ATMAKUR,atmakur,8504
AP,GADWAL,gadwal,8546
AP,KALWAKURTHY,kalwakurthy,8549
AP,KODANGAL,kodangal,8505
AP,KOLLAPUR,kollapur,8501
AP,MAHABUBNAGAR,mahabubnagar,8542
AP,MAKTHAL,makthal,8503
AP,NAGARKURNOOL,nagarkurnool,8540
AP,NARAYANPET,narayanpet,8506
AP,SHADNAGAR,shadnagar,8548
AP,WANAPARTHY,wanaparthy,8543
AP,BHONGIR,bhongir,8685
AP,CHANDOOR,chandoor,8681
AP,DEVARAKONDA,devarakonda,8691
AP,HAZURNAGAR,hazurnagar,8683
AP,MIRYALGUDA,miryalguda,8689
AP,NALGONDA,nalgonda,8682
AP,NAMPALLE,nampalle,8692
AP,NIDAMANUR (HILLCOLONY),nidamanur (hillcolony),8680
AP,RAMANNAPET,ramannapet,8694
AP,SURYAPET,suryapet,8684
AP,THUNGATURTHY,thungaturthy,8693
AP,ATMAKUR,atmakur,8627
AP,CHEJERLA,chejerla,8628
AP,GUDUR,gudur,8624
AP,KAVALI,kavali,8626
AP,KOVVUR,kovvur,8622
AP,NELLORE,nellore,861
AP,RAPUR (PODALAKUR),rapur (podalakur),8621
AP,SULLURPET,sullurpet,8623
AP,UDAYGIRI,udaygiri,8620
AP,VENKATGIRI,venkatgiri,8625
AP,VINJAMURU,vinjamuru,8629
AP,ARMOOR,armoor,8463
AP,BANSWADA,banswada,8466
AP,BODHAN,bodhan,8467
AP,DICHPALLI,dichpalli,8461
AP,KAMAREDDY,kamareddy,8468
AP,MADNUR,madnur,8464
AP,NIZAMABAD,nizamabad,8462
AP,YELLAREDDY,yellareddy,8465
AP,CHIRALA,chirala,8594
AP,CUMBUM,cumbum,8406
AP,DARSI,darsi,8407
AP,DONAKONDA,donakonda,8408
AP,GIDDALUR,giddalur,8405
AP,KANDUKURU,kandukuru,8598
AP,KANIGIRI,kanigiri,8402
AP,MARKAPUR,markapur,8596
AP,MARTURU,marturu,8404
AP,MEDARMETLA,medarmetla,8593
AP,ONGOLE,ongole,8592
AP,PAMURU,pamuru,8490
AP,PODILI,podili,8499
AP,ULVAPADU,ulvapadu,8599
AP,YERRAGONDAPALEM,yerragondapalem,8403
AP,AMALAPURAM,amalapuram,8856
AP,CHAVITIDIBBALU,chavitidibbalu,8863
AP,KAKINADA,kakinada,884
AP,"MANDAPETA 
(RAVULAPALEM)","mandapeta 
(ravulapalem)",8855
AP,PEDDAPURAM,peddapuram,8852
AP,PITHAPURAM,pithapuram,8869
AP,RAJAHMUNDRI,rajahmundri,883
AP,RAMACHANDRAPURAM,ramachandrapuram,8857
AP,RAMPACHODAVARAM,rampachodavaram,8864
AP,RAZOLE,razole,8862
AP,TUNI,tuni,8854
